Id2,Geography,Total; Estimate; Households,Total; Estimate; Population 18 to 24 years,Gross Rent,Housing Units,Pop,Total for all sectors,Year,"Agriculture, forestry, fishing and hunting_norm","Mining, quarrying, and oil and gas extraction_norm",Utilities_norm,Construction_norm,Manufacturing_norm,Wholesale trade_norm,Retail trade_norm,Transportation and warehousing_norm,Information_norm,Finance and insurance_norm,Real estate and rental and leasing_norm,"Professional, scientific, and technical services_norm",Management of companies and enterprises_norm,Administrative and support and waste management and remediation services_norm,Educational services_norm,Health care and social assistance_norm,"Arts, entertainment, and recreation_norm",Accommodation and food services_norm,Other services (except public administration)_norm,Industries not classified_norm,Pop norm travel time,Est_%_change
17020,"Chico, CA Metro Area",85388,33759,34636,96000,221539,4615,2012,0.005417118,0.001733478,0.002166847,0.098374865,0.038353196,0.036186349,0.156663055,0.023618635,0.016251354,0.06652221,0.050270856,0.091657638,0.004767064,0.048104009,0.010400867,0.154929577,0.014084507,0.086457205,0.092957746,0.001083424,6.74775096,0.001953973
17300,"Clarksville, TN-KY Metro Area",101067,35327,40946,117158,286973,4198,2012,0.000952835,0.001667461,0.001429252,0.07884707,0.036922344,0.038589805,0.196998571,0.023582658,0.011195808,0.067413054,0.049309195,0.070747975,0.005478799,0.045259647,0.012386851,0.121962839,0.008337303,0.112434493,0.116007623,0.000476417,9.315928676,-0.014322611
17660,"Coeur d'Alene, ID Metro Area",55848,13009,17343,64288,142357,4335,2012,0.011534025,0.003690888,0.002998847,0.144405998,0.055363322,0.03644752,0.13171857,0.025605536,0.015455594,0.060899654,0.046136101,0.101730104,0.004152249,0.053287197,0.011995386,0.116955017,0.020069204,0.084659746,0.07266436,0.000230681,8.338648609,0.009783368
17780,"College Station-Bryan, TX Metro Area",82134,61799,40157,96277,233135,4471,2012,0.003578618,0.018116752,0.003802281,0.090136435,0.02728696,0.040706777,0.164616417,0.025721315,0.018340416,0.062849474,0.054350257,0.099530306,0.006486245,0.04831134,0.010288526,0.096846343,0.012972489,0.112502796,0.102885261,0.000670991,8.518240504,0.035912882
17820,"Colorado Springs, CO Metro Area",247950,74150,89710,269696,668353,16471,2012,0.001032117,0.001578532,0.000971404,0.097565418,0.029020703,0.032359905,0.123307632,0.016817437,0.018092405,0.068605428,0.064537672,0.152267622,0.004796309,0.057919981,0.017667415,0.119179163,0.015846032,0.083055066,0.094954769,0.000424989,9.680116645,0.002678517
17860,"Columbia, MO Metro Area",69963,37880,30071,75355,178101,4344,2012,0.002071823,0.00092081,0.00092081,0.10359116,0.022559853,0.038213628,0.143186004,0.02140884,0.020027624,0.069060773,0.052255985,0.095073665,0.006906077,0.054327808,0.011279926,0.139732965,0.015423573,0.097145488,0.103821363,0.002071823,8.675779473,-0.049036778
17900,"Columbia, SC Metro Area",294039,91643,94080,337225,785641,16642,2012,0.00336498,0.000961423,0.005408004,0.081781036,0.031065978,0.050715058,0.157673357,0.022232905,0.016344189,0.079798101,0.042002163,0.112246124,0.005768537,0.056363418,0.01406081,0.099387093,0.012859031,0.090433842,0.116692705,0.000841245,10.12052579,-0.002337989
17980,"Columbus, GA-AL Metro Area",110334,34671,46973,129620,306326,5650,2012,0.005486726,0.001238938,0.003539823,0.071150442,0.032920354,0.036283186,0.183893805,0.020176991,0.014690265,0.080176991,0.051504425,0.081946903,0.006902655,0.046902655,0.009734513,0.124070796,0.012389381,0.099646018,0.116637168,0.000707965,8.180729027,-0.002823862
18140,"Columbus, OH Metro Area",719081,191072,279836,798744,1878714,40151,2012,0.000996239,0.001867948,0.002689846,0.070110333,0.035167244,0.052302558,0.139573112,0.029887176,0.018156459,0.072202436,0.046026251,0.116460362,0.010062016,0.056237703,0.014296032,0.11690867,0.015342084,0.101192996,0.099997509,0.000523026,10.49497422,0.035326577
18580,"Corpus Christi, TX Metro Area",156182,44401,61051,185252,435596,9282,2012,0.001723766,0.02413273,0.004417151,0.067442362,0.02553329,0.052143934,0.145765999,0.030489119,0.016914458,0.072290455,0.053759966,0.098793363,0.004632622,0.041693601,0.009803922,0.127881922,0.0121741,0.112260289,0.097500539,0.000646412,9.330170617,0.002700659
18700,"Corvallis, OR Metro Area",33395,19643,14168,36663,86430,2078,2012,0.020692974,0.002887392,0.000481232,0.083253128,0.045235804,0.025505294,0.126082772,0.021655438,0.023099134,0.048604427,0.049566891,0.138113571,0.003849856,0.043310876,0.015399423,0.129932628,0.016361886,0.10105871,0.103946102,0.000962464,7.505206526,0.037443834
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",75099,19764,28379,93399,190083,6817,2012,0.002493766,0.000880153,0.004107379,0.113099604,0.017016283,0.031832184,0.175003667,0.020976969,0.010415139,0.054716151,0.076573273,0.118673903,0.002933842,0.059703682,0.007481297,0.097256858,0.014522517,0.100630776,0.091535866,0.000146692,11.03076025,Nan
19060,"Cumberland, MD-WV Metro Area",39475,12286,14404,46371,101968,2094,2012,0.004775549,0.003342884,0.004297994,0.080706781,0.031518625,0.032951289,0.171442216,0.038204394,0.019102197,0.056829035,0.032473734,0.059694365,0.00095511,0.03199618,0.008118434,0.150429799,0.015281757,0.111270296,0.14565425,0.00095511,8.658500706,-0.002382087
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2337076,623404,945518,2546579,6647496,145968,2012,0.000774142,0.008193577,0.001870273,0.068391702,0.037556177,0.064048285,0.13389236,0.026231777,0.019483722,0.079085827,0.049921901,0.131350707,0.011858764,0.055546421,0.013283733,0.117080456,0.011194234,0.08632714,0.08314151,0.000767291,12.24901076,0.034727686
19140,"Dalton, GA Metro Area",48205,13555,17311,55656,142751,2593,2012,0.001542615,0.001928268,0.001928268,0.050520632,0.126108754,0.09525646,0.203625145,0.032780563,0.009641342,0.067489395,0.028538373,0.071345931,0.00732742,0.032394909,0.005013498,0.087157732,0.00732742,0.082915542,0.086772079,0.000385654,8.452935531,-0.021878536
19180,"Danville, IL Metro Area",31714,6339,9560,36152,80727,1480,2012,0.003378378,0.000675676,0.00472973,0.079054054,0.064864865,0.05472973,0.171621622,0.032432432,0.010810811,0.080405405,0.030405405,0.056756757,0.004054054,0.041216216,0.009459459,0.096621622,0.016216216,0.097297297,0.143918919,0.001351351,7.604642808,-0.008042895
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",155726,34534,46193,167695,381928,9064,2012,0.001985878,0.001434245,0.002978817,0.094991174,0.044130627,0.062775816,0.145520741,0.034090909,0.015887026,0.07325684,0.035414828,0.085613416,0.0070609,0.047771403,0.009929391,0.111650485,0.015445719,0.096315093,0.113415711,0.00033098,8.845528477,-0.00296997
19380,"Dayton, OH Metro Area",341240,87008,124096,384846,842858,16583,2012,0.000482422,0.000844238,0.00132666,0.06585057,0.063438461,0.049146717,0.150696496,0.021467768,0.017246578,0.066152083,0.043176747,0.103057348,0.008140867,0.04944823,0.013568112,0.120906953,0.014532955,0.096785865,0.113188205,0.000542724,9.12700004,-0.03816484
19460,"Decatur, AL Metro Area",59790,13883,17072,66539,154233,3029,2012,0.002971278,0.002310994,0.00330142,0.078903929,0.066688676,0.059755695,0.192142621,0.03202377,0.011224827,0.071640806,0.028392209,0.076262793,0.005282271,0.036645758,0.005282271,0.124463519,0.009243975,0.079564213,0.112248267,0.00165071,9.865819896,-0.0104541
